,image_id,emotions,labels
0,Happy-6660.jpg,Happy,2
1,Happy-2406.jpg,Happy,2
2,Happy-5369.jpg,Happy,2
3,Happy-4077.jpg,Happy,2
4,Happy-3718.jpg,Happy,2
5,Happy-4711.jpg,Happy,2
6,Happy-2360.jpg,Happy,2
7,Happy-1669.jpg,Happy,2
8,Happy-6106.jpg,Happy,2
9,Happy-6112.jpg,Happy,2
10,Happy-4705.jpg,Happy,2
11,Happy-2374.jpg,Happy,2
12,Happy-2412.jpg,Happy,2
13,Happy-4063.jpg,Happy,2
14,Happy-6674.jpg,Happy,2
15,Happy-708.jpg,Happy,2
16,Happy-5355.jpg,Happy,2
17,Happy-3724.jpg,Happy,2
18,Happy-6884.jpg,Happy,2
19,Happy-720.jpg,Happy,2
20,Happy-1133.jpg,Happy,2
21,Happy-1655.jpg,Happy,2
22,Happy-3042.jpg,Happy,2
23,Happy-5433.jpg,Happy,2
24,Happy-3056.jpg,Happy,2
25,Happy-4739.jpg,Happy,2
26,Happy-5427.jpg,Happy,2
27,Happy-2348.jpg,Happy,2
28,Happy-1641.jpg,Happy,2
29,Happy-1899.jpg,Happy,2
30,Happy-6890.jpg,Happy,2
31,Happy-6648.jpg,Happy,2
32,Happy-1127.jpg,Happy,2
33,Happy-734.jpg,Happy,2
34,Happy-5341.jpg,Happy,2
35,Happy-3730.jpg,Happy,2
36,Happy-3903.jpg,Happy,2
37,Happy-907.jpg,Happy,2
38,Happy-1872.jpg,Happy,2
39,Happy-1866.jpg,Happy,2
40,Happy-913.jpg,Happy,2
41,Happy-3917.jpg,Happy,2
42,Happy-6847.jpg,Happy,2
43,Happy-4088.jpg,Happy,2
44,Happy-5396.jpg,Happy,2
45,Happy-4936.jpg,Happy,2
46,Happy-3081.jpg,Happy,2
47,Happy-1696.jpg,Happy,2
48,Happy-1682.jpg,Happy,2
49,Happy-4922.jpg,Happy,2
50,Happy-3095.jpg,Happy,2
51,Happy-5382.jpg,Happy,2
52,Happy-6853.jpg,Happy,2
53,Happy-47.jpg,Happy,2
54,Happy-6304.jpg,Happy,2
55,Happy-278.jpg,Happy,2
56,Happy-2162.jpg,Happy,2
57,Happy-4513.jpg,Happy,2
58,Happy-4275.jpg,Happy,2
59,Happy-2604.jpg,Happy,2
60,Happy-6462.jpg,Happy,2
61,Happy-1319.jpg,Happy,2
62,Happy-6476.jpg,Happy,2
63,Happy-4261.jpg,Happy,2
64,Happy-2610.jpg,Happy,2
65,Happy-2176.jpg,Happy,2
66,Happy-5619.jpg,Happy,2
67,Happy-4507.jpg,Happy,2
68,Happy-3268.jpg,Happy,2
69,Happy-53.jpg,Happy,2
70,Happy-6310.jpg,Happy,2
71,Happy-5631.jpg,Happy,2
72,Happy-3240.jpg,Happy,2
73,Happy-7026.jpg,Happy,2
74,Happy-6338.jpg,Happy,2
75,Happy-244.jpg,Happy,2
76,Happy-1457.jpg,Happy,2
77,Happy-1331.jpg,Happy,2
78,Happy-522.jpg,Happy,2
79,Happy-3526.jpg,Happy,2
80,Happy-4249.jpg,Happy,2
81,Happy-5157.jpg,Happy,2
82,Happy-2638.jpg,Happy,2
83,Happy-3532.jpg,Happy,2
84,Happy-5143.jpg,Happy,2
85,Happy-536.jpg,Happy,2
86,Happy-1325.jpg,Happy,2
87,Happy-7032.jpg,Happy,2
88,Happy-1443.jpg,Happy,2
89,Happy-250.jpg,Happy,2
